term	warmth (W)	competence (C)	sociability (S)	trust (T)
airbrush	0.042	0.042	0.042	0.037
aircraft	0.091	0.382	0.000	0.091
aircrew	0.700	0.625	0.556	0.700
airdrop	0.111	0.571	0.111	0.028
airflow	0.033	0.148	0.000	0.033
airforce	0.556	1.000	0.000	0.556
airfreight	-0.125	0.500	-0.125	0.121
airhead	-0.583	-0.448	-0.583	-0.361
airily	0.500	-0.222	0.500	0.000
airiness	0.103	-0.278	0.103	0.000
airless	-0.625	-0.444	-0.625	0.028
airline	0.455	0.376	0.000	0.455
airliner	0.528	0.294	-0.167	0.528
airlock	-0.458	-0.106	-0.458	0.028
airmanship	0.667	0.667	0.481	0.667
airplane	0.194	0.416	-0.042	0.194
airplay	0.103	0.524	0.000	0.103
airport	0.095	0.364	0.095	0.000
airpower	-0.333	1.000	-0.333	0.000
airshow	0.389	0.571	0.389	0.028
airsick	-0.458	-0.667	-0.458	-0.278
airsickness	-0.500	-0.889	-0.500	-0.121
airstrike	-0.792	0.600	-0.792	0.000
airtime	0.154	0.375	0.111	0.154
airway	0.083	-0.036	0.083	0.028
airwoman	0.472	0.370	0.042	0.472
airworthy	0.606	0.750	0.222	0.606
airy	0.500	-0.259	0.500	0.037
ait	0.028	-0.196	0.000	0.028
akin	0.708	0.046	0.708	0.485
alacrity	0.952	0.556	0.952	0.273
alarm	-0.458	0.396	-0.458	-0.208
alarmed	-0.333	-0.016	-0.333	-0.091
alarming	-0.583	0.170	-0.583	-0.367
alarmist	-0.633	0.037	-0.625	-0.633
albinism	-0.037	-0.048	-0.037	0.014
album	0.333	-0.094	0.333	0.061
alcohol	0.190	-0.246	0.190	-0.083
alcohol poisoning	-0.815	-0.432	-0.815	-0.636
alcoholic	-0.667	-0.278	-0.667	-0.567
alcoholism	-0.694	-0.186	-0.667	-0.694
alehouse	0.625	0.000	0.625	0.139
alertly	0.222	0.889	0.222	0.185
alertness	0.458	0.500	0.458	0.333
alerts	0.222	0.346	0.048	0.222
alfresco	0.722	0.000	0.722	0.182
algebraically	-0.333	0.583	-0.333	0.185
algorithmic	0.576	0.708	-0.167	0.576
alibi	-0.481	0.112	-0.481	-0.300
alienate	-0.741	0.046	-0.741	-0.606
alienation	-0.917	-0.255	-0.917	-0.417
alienator	-0.810	0.593	-0.810	-0.636
alienist	-0.458	0.458	-0.458	-0.182
alight	0.500	0.210	0.500	0.028
align	0.697	0.254	0.417	0.697
aligner	0.091	0.476	0.000	0.091
alignment	0.708	0.366	0.571	0.708
alike	0.458	-0.112	0.458	0.143
alikeness	0.333	0.000	0.333	0.067
alimentation	0.111	0.081	0.111	0.100
alive	0.857	0.462	0.857	0.222
alive with	0.852	0.354	0.852	0.139
alkalinity	-0.167	0.095	-0.167	0.056
all	0.524	0.407	0.524	0.182
all about	0.857	-0.038	0.857	0.030
all around	0.762	0.100	0.762	0.083
all better	0.917	0.366	0.917	0.167
all but	0.000	-0.334	0.000	0.000
all clear	0.861	-0.100	0.762	0.861
all correct	0.792	0.420	0.792	0.600
all downhill	-0.625	-0.344	-0.625	-0.267
all eyes	0.481	0.108	0.481	0.103
all fours	0.000	-0.160	0.000	0.000
all important	0.545	0.490	0.250	0.545
all inclusive	0.917	0.176	0.917	0.639
all nations	0.833	0.166	0.833	0.133
all right	0.815	0.112	0.815	0.606
all round	0.583	0.214	0.571	0.583
all set	0.810	0.166	0.810	0.583
all together	0.958	0.234	0.958	0.600
all too	0.121	-0.138	0.000	0.121
all wet	-0.481	-0.100	-0.278	-0.481
all-star game	0.875	0.344	0.875	0.182
alleged	-0.583	0.040	-0.238	-0.583
allegiance	0.861	0.500	0.790	0.861
allegiant	0.963	0.708	0.556	0.963
allegoric	0.259	0.250	0.259	0.091
allegro	0.778	-0.094	0.778	-0.030
allergen	-0.625	-0.458	-0.625	-0.061
allergenic	-0.667	-0.458	-0.667	-0.182
allergic	-0.429	-0.454	-0.429	0.028
allergic reaction	-0.333	-0.518	-0.333	-0.030
allergy	-0.238	-0.222	-0.238	0.033
alleviate	0.905	0.056	0.905	0.700
alleviation	0.857	-0.018	0.857	0.697
alleviative	0.762	0.048	0.762	0.600
alleviator	0.917	0.571	0.917	0.667
alley	-0.500	-0.290	-0.500	-0.061
alleyway	-0.667	-0.236	-0.667	0.000
alliance	0.850	0.538	0.850	0.722
allied	0.792	0.284	0.792	0.667
allies	0.869	0.667	0.869	0.667
alligator	-0.750	0.290	-0.750	0.000
alliterate	0.028	0.333	0.000	0.028
alliteration	0.208	0.250	0.208	0.000
alliterative	0.185	0.167	0.185	0.000
alliteratively	0.083	0.208	0.037	0.083
allocate	0.733	0.344	0.278	0.733
allocative	-0.167	0.375	-0.167	0.111
allow	0.810	0.076	0.810	0.606
allow for	0.636	0.178	0.583	0.636
allow in	0.889	0.034	0.889	0.042
allowable	0.542	0.122	0.542	0.485
allowably	0.515	0.167	0.167	0.515
allowance	0.500	0.182	0.481	0.500
allowed	0.250	0.310	0.250	0.148
allsmiles	0.952	-0.140	0.952	0.400
allspice	0.292	0.000	0.292	0.074
allure	0.500	0.372	0.500	0.212
allurement	0.583	0.292	0.583	-0.444
alluring	0.667	0.686	0.667	-0.212
alluringness	0.571	0.238	0.571	0.152
alluvial	-0.259	-0.018	-0.259	0.000
ally	0.941	0.376	0.941	0.478
almanac	0.788	-0.176	0.000	0.788
almightily	0.167	1.000	0.000	0.167
almightiness	-0.542	1.000	-0.542	0.267
almighty	0.792	0.958	0.000	0.792
almond	0.238	-0.372	0.238	0.111
almond milk	0.167	-0.162	0.167	0.056
almonds	0.375	0.000	0.375	0.121
alms	1.000	-0.619	1.000	0.741
almsgiver	0.917	0.407	0.917	0.889
aloe vera	0.625	0.206	0.625	0.282
aloft	-0.500	0.400	-0.500	-0.033
aloha	1.000	-0.118	1.000	0.633
alone	-0.714	-0.568	-0.714	-0.125
aloneness	-0.556	-0.476	-0.556	0.083
aloof	-0.667	-0.396	-0.667	-0.364
alopecia	-0.167	-0.333	-0.167	-0.030
alpaca	0.630	-0.476	0.630	0.148
alpha	0.278	0.510	0.278	0.273
alpha male	0.190	0.104	0.190	0.182
alrighty	0.667	-0.208	0.667	0.056
also	0.200	0.000	0.125	0.200
altar	0.615	0.198	0.167	0.615
altarpiece	0.481	0.167	0.208	0.481
alter	-0.030	0.308	0.000	-0.030
alteration	0.111	0.218	0.000	0.111
altercate	-0.667	0.722	-0.630	-0.667
altercation	-0.667	0.000	-0.667	-0.667
altered	0.033	0.000	0.000	0.033
alternate	0.037	0.178	0.037	0.000
alternative	0.139	0.262	0.083	0.139
altitude	0.056	0.472	-0.042	0.056
alto	0.048	0.460	0.048	0.030
altogether	0.400	0.288	0.400	0.121
altruist	1.000	0.238	1.000	0.879
altruistic	0.933	0.333	0.929	0.933
altruistically	1.000	-0.238	1.000	1.000
aluminum foil	0.111	0.034	-0.048	0.111
alumna	0.542	0.222	0.542	0.370
alumnae	0.375	0.125	0.375	0.222
alumnus	0.606	-0.156	0.208	0.606
always	0.583	0.000	0.583	0.583
alzheimer	-0.619	-0.905	-0.619	0.000
alzheimers	0.238	-0.362	0.238	-0.033
amalgamate	0.381	0.625	0.333	0.381
amateur hour	-0.542	-0.142	-0.542	-0.485
amateurish	-0.472	-0.708	-0.458	-0.472
amateurishly	-0.296	-0.667	-0.296	-0.273
amateurishness	-0.606	-0.667	-0.593	-0.606
amaze	1.000	0.566	1.000	0.139
amazed	0.714	0.066	0.714	0.074
amazedly	0.381	-0.167	0.381	0.111
amazedness	0.333	0.020	0.333	0.083
amazement	0.952	0.278	0.952	0.200
amazing	0.905	0.698	0.905	0.212
amazingly	0.833	0.840	0.833	0.242
amazon	0.600	1.000	0.333	0.600
ambassador	1.000	0.834	1.000	0.630
ambassadorial	0.762	0.917	0.762	0.606
ambassadorship	0.926	0.667	0.926	0.700
amber	0.375	-0.262	0.375	0.000
amber alert	0.576	0.086	0.000	0.576
ambiance	0.708	0.037	0.708	0.167
ambidexterity	0.111	0.905	0.000	0.111
ambidexterous	0.037	0.476	0.037	0.030
ambidextrousness	0.091	0.708	0.000	0.091
ambience	0.625	-0.148	0.625	0.152
ambient	0.381	0.164	0.381	0.000
ambient music	0.292	-0.034	0.292	0.233
ambiguity	-0.424	-0.260	-0.375	-0.424
ambiguous	-0.370	-0.284	-0.370	-0.303
ambiguousness	-0.472	-0.524	-0.292	-0.472
ambitionless	-0.667	-0.444	-0.667	0.030
ambitiously	0.481	0.750	0.481	0.100
ambitiousness	0.538	0.917	-0.056	0.538
ambivalence	-0.143	-0.444	-0.143	-0.091
ambler	0.458	-0.074	0.458	0.061
ambrosial	0.762	0.143	0.762	0.273
ambulation	0.095	0.259	0.095	0.000
ambulatory	0.091	0.083	0.000	0.091
ambush	-0.750	0.000	-0.750	-0.741
ambusher	-1.000	0.958	-0.833	-1.000
ameliorate	0.917	0.494	0.917	0.697
amen	0.778	0.084	0.778	0.758
amenability	0.810	0.417	0.810	0.444
amenably	0.875	-0.375	0.875	0.667
amend	0.722	0.316	0.722	0.639
amendable	0.639	0.185	0.583	0.639
amends	1.000	0.034	1.000	0.733
amenity	0.857	0.148	0.857	0.593
american dream	0.667	0.166	0.667	0.296
american express	0.852	0.370	0.000	0.852
american flag	0.619	0.438	0.619	0.593
american football	0.708	0.466	0.708	0.167
american revolution	0.625	0.464	0.625	0.370
american thanksgiving	1.000	0.448	1.000	0.533
american way	0.389	0.322	0.389	0.121
amiability	0.963	0.000	0.963	0.833
amiable	0.940	-0.034	0.940	0.636
amiableness	0.963	-0.208	0.963	0.800
amiably	1.000	0.542	1.000	0.606
amicability	1.000	-0.286	1.000	0.727
amicable	0.892	0.014	0.892	0.861
amicableness	0.926	-0.250	0.926	0.667
amicably	1.000	0.375	1.000	0.700
amigo	0.910	0.381	0.910	0.636
amigos	1.000	0.000	1.000	0.528
amiss	-0.500	-0.444	-0.375	-0.500
ammo	-0.750	0.242	-0.750	-0.394
ammonia	-0.833	-0.182	-0.833	-0.074
ammonium	-0.667	-0.264	-0.667	0.000
ammunition	-0.630	0.334	-0.630	-0.167
amnesia	-0.667	-0.384	-0.667	-0.267
amnesiac	-0.600	-0.917	-0.381	-0.600
amnesic	-0.476	-0.630	-0.476	-0.121
amok	-0.697	-0.296	-0.524	-0.697
amoral	-0.750	-0.074	-0.750	-0.633
amorality	-0.967	-0.292	-0.792	-0.967
amorous	0.875	0.272	0.875	0.212
amorously	0.792	0.417	0.792	0.167
amorousness	0.792	0.407	0.792	0.074
amorphous	-0.143	-0.302	-0.143	-0.111
amorphousness	-0.619	-0.583	-0.619	-0.273
amount to	0.100	0.214	0.000	0.100
amour	1.000	0.304	1.000	0.152
amoxicillin	0.556	0.000	0.000	0.556
amphetamines	-0.857	0.052	-0.857	-0.758
amphitheater	0.167	0.090	0.167	0.121
ample	0.750	0.438	0.750	0.000
ampleness	0.417	0.286	0.417	0.111
amplification	0.125	0.646	0.125	0.100
amplifier	0.208	0.583	0.208	0.139
amplify	0.111	0.654	0.083	0.111
amplitude	0.056	0.384	0.056	0.000
amply	0.500	0.532	0.500	0.152
amputate	-0.619	0.018	-0.619	-0.083
amputation	-0.750	-0.034	-0.750	-0.194
amputee	0.083	-0.630	0.083	-0.030
amuck	-0.700	-0.358	-0.542	-0.700
amulet	0.296	0.260	0.296	0.056
amusable	0.762	-0.286	0.762	0.061
amuse	0.917	0.328	0.917	0.139
amused	0.875	0.192	0.875	0.100
amusedly	0.500	0.000	0.500	0.100
amusement	0.958	0.606	0.958	0.212
amusement park	0.875	0.388	0.875	0.091
amusing	0.958	0.264	0.958	0.194
anabolism	-0.048	0.444	-0.048	-0.033
anachronism	-0.259	-0.619	-0.259	0.000
anachronistic	-0.417	-0.292	-0.417	-0.133
anachronous	-0.375	-0.481	-0.375	0.000
anaconda	-0.524	0.080	-0.524	-0.273
anaerobia	-0.583	0.000	-0.583	0.000
anaesthesia	-0.625	-0.054	-0.625	0.152
anagrammatically	-0.286	0.125	-0.286	0.000
anal	-0.571	-0.332	-0.571	-0.567
anal sex	-0.333	-0.276	-0.333	-0.133
analysis	0.667	0.410	-0.083	0.667
analytic	0.741	0.268	-0.429	0.741
analytical	0.758	0.600	-0.250	0.758
analytically	0.564	0.625	-0.208	0.564
analyzable	-0.083	0.667	-0.083	0.061
analyze	0.545	0.420	-0.250	0.545
analyzer	0.576	0.708	-0.238	0.576
anamorphic	-0.417	0.000	-0.417	-0.030
anaphylactic	-0.889	0.000	-0.889	-0.167
anaphylaxis	-0.792	-0.625	-0.792	0.000
anarchic	-0.758	0.704	-0.750	-0.758
anarchical	-0.639	0.500	-0.583	-0.639
anarchically	-0.722	-0.250	-0.667	-0.722
anarchism	-0.697	0.246	-0.625	-0.697
anarchist	-0.714	0.518	-0.714	-0.697
anarchistic	-0.667	0.778	-0.667	-0.639
anarchize	-0.792	0.556	-0.792	-0.667
anarchy	-0.875	0.240	-0.875	-0.788
anastomosis	-0.381	-0.020	-0.381	-0.037
anathema	-0.939	0.038	-0.875	-0.939
ancestral	0.500	0.500	0.417	0.500
ancestrally	0.208	0.048	0.208	0.037
ancestry	0.292	0.434	0.292	0.139
anchorless	-0.630	-0.667	-0.630	-0.500
anchorman	0.697	0.667	0.556	0.697
anchorwoman	0.667	0.708	0.667	0.636
ancient egypt	0.091	-0.184	0.000	0.091
and crap	-0.727	-0.186	-0.619	-0.727
and everything	0.185	0.100	0.185	0.067
androgen	-0.381	0.054	-0.381	-0.028
androgynous	0.250	0.000	0.250	0.000
android	-0.762	0.000	-0.762	0.037
anecdotic	0.429	-0.296	0.429	-0.152
anemia	-0.417	-0.380	-0.417	0.000
anemic	-0.542	-0.690	-0.542	-0.121
anesthesia	-0.625	-0.212	-0.625	0.121
anesthetic	-0.611	-0.036	-0.611	0.212
anesthetization	-0.708	-0.833	-0.708	-0.067
aneurism	-0.708	-0.810	-0.708	0.000
aneurysm	-0.708	0.072	-0.708	-0.042
anew	0.250	-0.230	0.083	0.250
angel	1.000	0.408	1.000	0.909
angelfish	0.238	-0.111	0.238	0.083
angelic	1.000	0.336	1.000	0.788
angelical	0.833	0.125	0.833	0.833
angelically	1.000	0.250	1.000	0.818
anger	-0.667	0.314	-0.667	-0.303
anger management	0.636	0.000	0.208	0.636
angered	-0.593	0.094	-0.593	-0.417
angermanagement	0.583	-0.036	0.583	0.556
angina	-0.583	-0.072	-0.583	0.000
angiogram	-0.250	-0.070	-0.250	0.030
angiography	0.576	0.040	-0.125	0.576
angioplasty	0.194	0.667	-0.083	0.194
angling	0.167	0.000	0.167	0.121
angriest	-0.792	-0.140	-0.792	-0.576
angrily	-0.714	-0.476	-0.714	-0.576
angriness	-0.792	0.143	-0.792	-0.500
angry	-0.667	0.208	-0.667	-0.515
angry mob	-0.778	-0.072	-0.778	-0.667
angrytweet	-0.708	-0.058	-0.708	-0.606
angst	-0.667	-0.334	-0.667	-0.111
anguish	-0.625	-0.470	-0.625	-0.545
anguished	-0.542	-0.386	-0.542	-0.212
animal kingdom	0.444	0.434	0.444	0.139
animal lover	0.917	0.134	0.917	0.583
animal rights	1.000	0.134	1.000	0.667
animalist	-0.600	0.250	-0.600	0.037
animalistic	-0.639	0.111	-0.583	-0.639
animalization	-0.593	-0.667	-0.583	-0.593
animalize	-0.458	-0.667	-0.458	-0.185
animate	0.833	0.270	0.833	0.182
animated	0.963	0.076	0.963	0.133
animated series	0.571	0.130	0.571	0.033
animatedly	0.857	0.444	0.857	0.152
animation	0.429	0.098	0.429	0.133
animator	0.667	0.556	0.667	0.472
anime series	0.556	0.052	0.556	0.061
animism	0.278	0.111	0.278	-0.033
animus	-0.833	-0.068	-0.833	-0.433
annexable	-0.167	0.444	-0.167	0.000
annexation	-0.667	0.110	-0.667	-0.212
annihilate	-1.000	0.362	-1.000	-0.667
annihilated	-0.708	-0.352	-0.708	-0.056
annihilation	-0.963	0.182	-0.963	-0.576
annihilationist	-1.000	0.857	-1.000	-0.636
annihilative	-0.958	1.000	-0.958	-0.815
annihilator	-0.905	0.952	-0.905	-0.767
anniversary	0.952	0.446	0.952	0.048
annotator	0.407	0.593	0.407	0.394
announce	0.524	0.222	0.524	0.472
announcement	0.242	-0.036	0.185	0.242
annoy	-0.667	-0.428	-0.667	-0.133
annoyance	-0.611	-0.316	-0.611	-0.083
annoyed	-0.667	-0.310	-0.667	-0.233
annoyer	-0.667	-0.542	-0.667	-0.576
annoyin	-0.697	-0.296	-0.500	-0.697
annoying	-0.667	-0.304	-0.667	-0.515
annoyingness	-0.667	-0.417	-0.667	-0.233
annoys	-0.583	-0.130	-0.583	-0.167
annual report	0.875	0.070	0.000	0.875
annually	0.194	0.000	0.000	0.194
annul	-0.476	-0.272	-0.476	-0.121
annular	0.030	-0.176	0.000	0.030
annulment	-0.381	-0.106	-0.381	-0.133
annunciate	0.167	0.542	0.167	0.152
anoint	0.600	0.619	0.407	0.600
anointing	0.528	0.094	0.458	0.528
anointment	0.528	0.476	0.125	0.528
anomalism	-0.619	-0.208	-0.619	-0.074
anomalous	-0.481	-0.154	-0.481	0.028
anomalously	-0.286	-0.208	-0.286	-0.185
anomaly	-0.625	-0.192	-0.625	-0.100
anonymous	-0.625	-0.138	-0.625	-0.056
anorexia	-0.917	-0.926	-0.917	0.000
anorexic	-0.619	-0.510	-0.619	-0.600
answer for	0.091	-0.104	0.000	0.091
answerability	0.800	0.667	0.500	0.800
answerable	0.667	0.500	0.500	0.667
answerer	0.611	0.500	0.222	0.611
answering	0.714	0.214	0.714	0.630
answerless	-0.458	-0.571	-0.458	-0.212
antacid	0.333	0.083	-0.048	0.333
antagonism	-0.833	0.048	-0.833	-0.667
antagonist	-0.875	0.400	-0.875	-0.606
antagonistic	-0.905	0.130	-0.905	-0.667
antagonistically	-0.708	0.792	-0.708	-0.667
antagonize	-0.905	0.258	-0.905	-0.694
antebellum	-0.333	0.000	-0.333	0.000
antecedence	-0.286	0.417	-0.286	0.056
anthem	0.481	0.458	0.481	0.333
anthill	-0.500	-0.246	-0.500	0.033
anthologist	0.545	0.458	0.381	0.545
anthologize	-0.333	0.458	-0.333	0.028
anthology	0.417	0.074	0.417	0.111
anthrax	-0.963	0.000	-0.917	-0.963
anthropocentric	-0.542	0.333	-0.542	0.000
anthropological	0.242	-0.020	0.000	0.242
anthropomorphism	0.000	0.583	0.000	0.000
anthropomorphize	0.167	0.000	0.167	0.000
anti	-0.810	-0.232	-0.810	-0.519
antiaircraft	-0.714	0.258	-0.714	0.000
antibacterial	0.533	0.370	-0.333	0.533
antibody	0.208	0.444	0.208	0.167
antic	0.792	0.048	0.792	0.000
anticensorship	0.833	0.722	0.833	0.625
antichrist	-1.000	0.088	-1.000	-1.000
antichristian	-0.917	-0.333	-0.917	-0.667
antichurch	-0.762	0.267	-0.762	-0.300
anticipatable	0.367	0.238	0.074	0.367
anticipated	0.524	0.407	0.524	0.167
anticipation	0.467	0.422	0.467	0.306
anticipative	0.519	0.500	0.519	0.121
anticipator	0.455	0.417	0.286	0.455
anticipatorily	0.238	0.417	0.238	0.061
anticipatory	0.333	0.364	0.333	0.242
anticlassical	-0.417	0.167	-0.417	0.000
anticlassicist	-0.619	-0.333	-0.619	-0.500
anticlerical	-0.625	0.593	-0.625	-0.182
anticlericalism	-0.667	0.875	-0.667	-0.167
anticlimactic	-0.500	-0.481	-0.500	-0.111
anticlimax	-0.667	-0.583	-0.667	-0.077
anticoagulation	0.212	0.250	0.000	0.212
anticonvulsive	-0.125	0.524	-0.125	0.121
anticorrosion	-0.125	0.542	-0.125	0.033
anticorrosive	0.233	0.444	0.000	0.233
antidemocrat	-0.939	0.917	-0.857	-0.939
antidemocratic	-0.875	1.000	-0.875	-0.750
antidrug	0.633	0.667	-0.444	0.633
antiestablishment	-0.619	0.792	-0.619	-0.212
antievolution	-0.810	0.375	-0.810	-0.788
antifascist	0.714	0.741	0.714	0.533
antifeminism	-0.917	0.467	-0.917	-0.700
antifeminist	-0.905	0.556	-0.905	-0.758
antifreeze	-0.889	0.000	-0.889	-0.091
antifundamentalist	-0.233	0.625	-0.222	-0.233
antigambling	0.545	0.375	-0.542	0.545
antigovernment	-0.722	0.889	-0.722	-0.533
antigrowth	-0.667	-0.519	-0.667	0.000
antihero	-0.500	0.542	-0.429	-0.500
antiheroic	-0.485	-0.200	-0.458	-0.485
antihuman	-1.000	-0.037	-1.000	-0.867
antimicrobial	0.852	0.476	-0.524	0.852
antimilitary	-0.481	0.148	-0.481	0.000
antimonarchical	-0.375	0.167	-0.375	0.000
antimonarchist	-0.458	0.810	-0.458	-0.194
antimony	-0.500	-0.020	-0.500	0.000
antinational	-0.727	-0.185	-0.619	-0.727
antinationalist	-0.455	-0.333	-0.444	-0.455
antinationalistic	-0.533	-0.444	-0.533	-0.417
antinuclear	0.242	0.389	-0.190	0.242
antioxidant	0.303	0.333	0.042	0.303
antipapal	-0.778	0.444	-0.778	-0.472
antiparliamentary	-0.714	0.875	-0.714	-0.433
antipasto	0.333	0.208	0.333	0.030
antipathetic	-0.905	0.095	-0.905	-0.611
antipathetically	-0.963	-0.625	-0.963	-0.528
antipathic	-1.000	-0.519	-1.000	-0.639
antipathy	-0.917	-0.214	-0.917	-0.639
antipatriotic	-0.861	-0.750	-0.810	-0.861
antipoetic	-0.625	-0.208	-0.625	-0.185
antipollution	0.700	0.481	0.519	0.700
antipoverty	0.952	0.741	0.952	0.767
antiquarianism	-0.458	0.259	-0.458	0.455
antique	0.667	0.036	0.667	0.167
antiquity	0.222	0.112	0.000	0.222
antireligious	-0.583	0.389	-0.583	-0.567
antirevolutionary	-0.667	0.519	-0.667	-0.121
antiroyalist	-0.583	0.467	-0.583	-0.067
antiscientific	-0.857	-0.583	-0.857	-0.741
antisemitic	-1.000	0.875	-1.000	-0.939
antisemitism	-1.000	-0.072	-1.000	-0.970
antislavery	1.000	0.889	1.000	1.000
antismoking	0.600	0.429	0.238	0.600
antisocial	-1.000	-0.218	-1.000	-0.636
antisocialist	-0.917	-0.190	-0.917	-0.606
antispasmodic	-0.481	0.519	-0.481	0.194
antitheft	0.611	0.542	0.111	0.611
antitheist	-0.667	0.810	-0.667	-0.121
antithesis	-0.481	0.072	-0.481	0.000
antithetical	-0.667	-0.284	-0.667	-0.417
antithetically	-0.667	0.286	-0.667	-0.100
antitoxic	0.472	0.593	0.056	0.472
antitoxin	0.700	0.741	0.667	0.700
antitypical	-0.630	0.444	-0.630	-0.033
antivax	-0.857	-0.138	-0.857	-0.639
antivaxxer	-0.833	-0.222	-0.833	-0.633
antivirus	0.694	0.944	-0.083	0.694
antiwar	0.905	0.500	0.905	0.778
anus	-1.000	-0.300	-1.000	-0.111
anvil	-0.381	0.208	-0.381	0.000
anxiety	-0.381	-0.316	-0.381	0.033
anxiety attack	-0.667	-0.500	-0.667	-0.267
anxiety disorder	-0.381	-0.612	-0.381	-0.152
anxietyattack	-0.639	-0.108	-0.500	-0.639
anxious	-0.333	-0.132	-0.333	-0.205
anxiously	-0.381	-0.741	-0.381	-0.306
anxiousness	-0.381	-0.436	-0.381	-0.233
any old	0.056	-0.452	0.056	-0.030
anything	0.111	0.000	0.111	0.000
anything but	-0.152	-0.322	-0.067	-0.152
anytime	0.625	-0.128	0.625	0.500
anytime soon	0.190	-0.166	0.190	0.000
anywhere	0.042	-0.300	0.042	0.000
anywhere else	0.048	0.000	0.048	0.042
apache	-0.125	0.000	-0.125	0.033
apart	-0.625	-0.286	-0.625	-0.030
apart from	-0.250	-0.134	-0.250	0.033
apartheid	-1.000	-0.072	-1.000	-0.944
apartment	0.242	0.160	0.148	0.242
apartment building	0.242	0.334	-0.083	0.242
apartments	0.121	-0.114	0.095	0.121
apathetic	-0.958	-0.334	-0.958	-0.139
apathetical	-0.630	-0.619	-0.630	-0.455
apathy	-0.944	-0.592	-0.944	-0.267
apelike	-0.500	-0.333	-0.500	-0.400
aphasia	-0.667	-0.833	-0.667	0.037
aphid	-0.571	-0.186	-0.571	0.000
aphrodisiac	0.857	0.334	0.857	-0.028
aphrodisiacal	0.571	0.556	0.571	-0.033
aplenty	0.583	0.074	0.583	0.061
apnea	-0.593	-0.792	-0.593	-0.091
apocalypse	-0.714	0.472	-0.714	-0.067
apocalyptic	-0.857	0.500	-0.857	-0.139
apocalyptical	-0.917	0.810	-0.917	-0.208
apocalyptically	-0.778	0.815	-0.778	-0.296
apocryphal	-0.667	0.000	-0.667	-0.485
apologies	0.848	-0.619	0.810	0.848
apologise	0.952	-0.583	0.952	0.630
apologizer	1.000	-0.625	1.000	0.600
apoplectic	-0.667	0.095	-0.667	-0.133
apoplectically	-0.810	-0.333	-0.810	-0.200
apoplexy	-0.619	-0.810	-0.619	-0.139
apostasy	-0.758	0.034	-0.542	-0.758
apostate	-0.667	0.056	-0.625	-0.667
apostle	0.867	0.464	0.810	0.867
apostleship	0.542	0.667	0.542	0.472
apostolically	0.500	0.667	0.083	0.500
apostolicism	0.500	0.381	0.500	0.485
apotheosis	0.300	1.000	0.000	0.300
appall	-0.857	0.667	-0.857	-0.788
appalled	-0.583	0.124	-0.583	-0.545
appalling	-0.852	-0.170	-0.852	-0.458
apparatus	0.152	-0.246	0.000	0.152
apparel	0.200	-0.094	0.000	0.200
apparentness	0.033	0.259	0.000	0.033
appeal	0.571	0.116	0.571	0.273
appealable	0.667	0.476	0.667	-0.033
appealer	0.500	-0.333	0.500	0.030
appear	0.143	0.134	0.143	0.030
appearance	0.139	0.068	0.000	0.139
appeasable	0.583	-0.381	0.583	0.556
appease	0.778	-0.132	0.778	0.333
appellant	-0.143	0.136	-0.143	0.028
appellation	0.154	0.148	0.000	0.154
appendage	0.000	-0.124	0.000	0.000
appendectomy	0.037	0.108	-0.025	0.037
appendicitis	-0.630	-0.306	-0.630	0.000
appendix	0.000	-0.150	0.000	0.000
appetite	0.250	0.162	0.250	0.091
appetizer	0.625	-0.188	0.625	0.091
appetizing	0.792	0.376	0.792	0.074
applaud	0.958	-0.072	0.958	0.700
applaudable	0.952	0.583	0.952	0.867
applauder	0.952	0.250	0.952	0.606
applause	1.000	0.242	1.000	0.472
apple	0.762	-0.472	0.762	0.048
apple cider	0.889	-0.074	0.889	0.121
apple juice	0.778	-0.222	0.778	0.700
apple pie	0.963	0.034	0.963	0.639
apple tree	0.625	0.048	0.625	0.074
applesauce	0.625	-0.418	0.625	0.100
applicability	0.167	0.482	0.042	0.167
application	0.333	0.452	0.222	0.333
apply for	0.250	-0.096	0.238	0.250
appointer	0.333	0.833	0.333	0.067
appointment	0.767	0.094	0.000	0.767
appointments	0.576	0.250	0.042	0.576
apportion	0.515	0.276	0.259	0.515
appraisable	0.417	0.417	0.333	0.417
appraise	0.606	0.392	0.381	0.606
appraisement	-0.238	0.630	-0.238	0.111
appreciable	0.619	0.556	0.619	0.242
appreciably	0.333	0.444	0.333	0.273
appreciate	0.919	0.482	0.919	0.704
appreciated	0.958	0.558	0.958	0.667
appreciates	0.958	0.312	0.958	0.667
appreciation	1.000	0.176	1.000	0.636
appreciative	0.952	0.308	0.952	0.639
appreciatively	0.917	0.056	0.917	0.100
appreciativeness	0.952	0.375	0.952	0.718
appreciator	0.905	0.222	0.905	0.487
appreciatory	0.810	0.208	0.810	0.667
apprehender	0.467	0.292	-0.042	0.467
apprehension	-0.583	-0.092	-0.583	-0.167
apprehensively	-0.458	-0.619	-0.458	-0.067
apprehensiveness	-0.417	-0.583	-0.417	-0.212
apprenticeship	0.667	0.286	0.571	0.667
